scientific_name,common_names,category,park_name,observations,conservation_status
Impatiens pallida,"Pale Jewel-Weed, Pale Jewelweed, Touch Me-Not",Vascular Plant,Yosemite National Park,130,
Torilis arvensis,Spreading Hedgeparsley,Vascular Plant,Great Smoky Mountains National Park,83,
Gaura filipes,Slenderstalk Beeblossom,Vascular Plant,Great Smoky Mountains National Park,102,
Ribes amarum,Bitter Gooseberry,Vascular Plant,Yellowstone National Park,261,
Convolvulus arvensis,"Creeping Jenny, European Bindweed, Field Bindweed, Perennial Morningglory, Smallflowered Morningglory",Vascular Plant,Bryce National Park,77,
Centaurea nigra,Lesser Knapweed,Vascular Plant,Yosemite National Park,167,
Nucifraga columbiana,Clark's Nutcracker,Bird,Yosemite National Park,155,
Arabis holboellii var. retrofracta,"A Holboell Rock-Cress, Second Rockcress",Vascular Plant,Bryce National Park,98,
Viola lanceolata,"Lance-Leaf Violet, Lance-Leaved Violet",Vascular Plant,Yellowstone National Park,265,
Spinus psaltria,Lesser Goldfinch,Bird,Great Smoky Mountains National Park,89,
Bupleurum americanum,American Thorow Wax,Vascular Plant,Yellowstone National Park,230,
Potentilla gracilis var. fastigiata,"Northwest Cinquefoil, Nuttall's Cinquefoil, Slender Cinquefoil",Vascular Plant,Yellowstone National Park,253,
Xanthium strumarium var. glabratum,Rough Cockleburr,Vascular Plant,Bryce National Park,79,
Botrychium oneidense,Blunt-Lobed Grape Fern,Vascular Plant,Yosemite National Park,158,
Gayophytum decipiens,Deceptive Groundsmoke,Vascular Plant,Great Smoky Mountains National Park,92,
Polypremum procumbens,Juniper-Leaf,Vascular Plant,Bryce National Park,104,
Galium circaezans,Wild Licorice,Vascular Plant,Great Smoky Mountains National Park,78,
Camassia quamash ssp. quamash,Small Camas,Vascular Plant,Yellowstone National Park,236,
Mustela nivalis,Least Weasel,Mammal,Great Smoky Mountains National Park,75,
Carex nigricans,Black Alpine Sedge,Vascular Plant,Great Smoky Mountains National Park,60,
Potamogeton pusillus ssp. pusillus,Small Pondweed,Vascular Plant,Bryce National Park,136,
Sylvilagus transitionalis,New England Cottontail,Mammal,Bryce National Park,107,
Amorpha fruticosa,"False Indigo, False Indigo-Bush",Vascular Plant,Bryce National Park,126,
Schistidium agassizii,Agassiz's Schistidium Moss,Nonvascular Plant,Bryce National Park,81,
Lampropeltis,"Kingsnakes, Milk Snakes",Reptile,Yellowstone National Park,272,
Porzana carolina,Sora,Bird,Yosemite National Park,166,
Malva parviflora,"Cheeseweed, Cheeseweed Mallow, Small-Whorl Mallow",Vascular Plant,Yosemite National Park,140,
Euonymus alatus,"Winged Euonymus, Winged Spindle-Tree",Vascular Plant,Bryce National Park,139,
Mentzelia albicaulis,"White Blazingstar, Whitestem Blazingstar, Whitestem Stickleaf, White-Stemmed Evening-Star",Vascular Plant,Yosemite National Park,121,
Hydrophyllum virginianum var. atranthum,Virginia Waterleaf,Vascular Plant,Yellowstone National Park,243,
Sitta canadensis,Red-Breasted Nuthatch,Bird,Yosemite National Park,133,
Juncus dichotomus,Rush,Vascular Plant,Bryce National Park,140,
Platanthera dilatata var. albiflora,Scentbottle,Vascular Plant,Bryce National Park,110,
Hulsea algida,"Alpine Hulsea, Pacific Hulsea",Vascular Plant,Great Smoky Mountains National Park,78,
Lespedeza stuevei,Tall Lespedeza,Vascular Plant,Great Smoky Mountains National Park,77,
Scirpus microcarpus,"Panicled Bulrush, Red-Tinge Bulrush, Smallfruit Bulrush",Vascular Plant,Great Smoky Mountains National Park,93,
Astragalus laxmannii var. robustior,Prairie Milkvetch,Vascular Plant,Yosemite National Park,140,
Vittaria appalachiana,"Appalachian Shoestring Fern, Appalachian Vittaria",Vascular Plant,Yosemite National Park,142,
Hibiscus syriacus,"Rose-Of-Sharon, Rose-Of-Sharon, Shrubby Althea",Vascular Plant,Bryce National Park,51,
Oxalis dillenii,"Dillen's Oxalis, Slender Yellow Woodsorrel",Vascular Plant,Yosemite National Park,147,
Oxalis dillenii,"Dillen's Woodsorrel, Yellow Sorrel",Vascular Plant,Yosemite National Park,147,
Hexastylis heterophylla,Variableleaf Heartleaf,Vascular Plant,Bryce National Park,94,
Aureolaria virginica,Downy False-Foxglove,Vascular Plant,Bryce National Park,72,
Rhododendron maximum,"Great Laurel, Rosebay Rhododendron",Vascular Plant,Yosemite National Park,148,
Sphagnum capillifolium,Sphagnum,Nonvascular Plant,Yosemite National Park,170,
Potentilla argentea,Silver Cinquefoil,Vascular Plant,Bryce National Park,99,
Potentilla argentea,"Silver Cinquefoil, Silver-Leaf Cinquefoil",Vascular Plant,Bryce National Park,99,
Percina evides,Gilt Darter,Fish,Yellowstone National Park,236,
Polypodium calirhiza,Nested Polypody,Vascular Plant,Bryce National Park,106,
Erigeron compactus,"Cushion Daisy, Fernleaf Fleabane, Fern-Leaf Fleabane",Vascular Plant,Great Smoky Mountains National Park,80,
Abies bifolia,Rocky Mountain Alpine Fir,Vascular Plant,Bryce National Park,109,
Rorippa palustris,Yellowcress,Vascular Plant,Yosemite National Park,156,
Woodwardia areolata,"Netted Chain Fern, Netted Chainfern",Vascular Plant,Bryce National Park,127,
Stellaria longifolia,"Longleaf Chickweed, Longleaf Starwort, Long-Leaf Starwort",Vascular Plant,Yellowstone National Park,277,
Stellaria longifolia,"Longleaf Stitchwort, Long-Leaved Stitchwort",Vascular Plant,Yellowstone National Park,277,
Sorbus sitchensis var. grayi,Western Mountain-Ash,Vascular Plant,Great Smoky Mountains National Park,95,
Eleusine indica,"India Goosegrass, Wiregrass",Vascular Plant,Great Smoky Mountains National Park,49,
Brassica rapa,"Bird's Rape, Birdsrape Mustard, Field Mustard, Rape, Rape Mustard, Turnip Rape, Wild Mustard, Wild Rutabaga, Wild Turnip",Vascular Plant,Yosemite National Park,170,
Brassica rapa,"Bird's Rape, Rape Mustard",Vascular Plant,Yosemite National Park,170,
Silphium asteriscus var. laevicaule,Rosin-Weed,Vascular Plant,Yellowstone National Park,256,
Carex scopulorum var. bracteosa,"Craterlike Sedge, Mountain Sedge",Vascular Plant,Yosemite National Park,161,
Celtis tenuifolia,Dwarf Hackberry,Vascular Plant,Yellowstone National Park,243,
Tradescantia virginiana,Virginia Spiderwort,Vascular Plant,Yellowstone National Park,265,
Galium pilosum var. puncticulosum,Hairy Bedstraw,Vascular Plant,Yellowstone National Park,252,
Vicia cracca ssp. cracca,Bird Vetch,Vascular Plant,Bryce National Park,110,
Cardamine pachystigma var. pachystigma,Serpentine Bittercress,Vascular Plant,Bryce National Park,104,
Castilleja linariifolia,"Wyoming Indian Paintbrush, Wyoming Paintbrush",Vascular Plant,Great Smoky Mountains National Park,72,
Sialia sialis,Eastern Bluebird,Bird,Bryce National Park,128,
Brassica rapa,"Bird's Rape, Birdsrape Mustard, Field Mustard, Rape, Rape Mustard, Turnip Rape, Wild Mustard, Wild Rutabaga, Wild Turnip",Vascular Plant,Great Smoky Mountains National Park,75,
Brassica rapa,"Bird's Rape, Rape Mustard",Vascular Plant,Great Smoky Mountains National Park,75,
Ailanthus altissima,Tree-Of-Heaven,Vascular Plant,Yosemite National Park,148,
Gilia leptalea ssp. leptalea,Bridges' Gilia,Vascular Plant,Yellowstone National Park,262,
Prunus subcordata,Klamath Plum,Vascular Plant,Yellowstone National Park,217,
Plantago eriopoda,"Alkali Plantain, Redwood Plantain, Redwool Plantain, Red-Woolly Plantain, Saline Plantain",Vascular Plant,Great Smoky Mountains National Park,43,
Isotria medeoloides,Small Whorled Pogonia,Vascular Plant,Bryce National Park,42,Threatened
Epilobium ciliatum ssp. ciliatum,"Coast Willowweed, Fringed Willowherb",Vascular Plant,Bryce National Park,89,
Epilobium ciliatum ssp. ciliatum,Willow-Herb,Vascular Plant,Bryce National Park,89,
Plagiomnium rostratum,Plagiomnium Moss,Nonvascular Plant,Yosemite National Park,152,
Sphagnum palustre,Prairie Sphagnum,Nonvascular Plant,Yosemite National Park,138,
Ivesia pygmaea,"Dwarf Ivesia, Dwarf Mousetail",Vascular Plant,Yosemite National Park,139,
Poa cusickii,Cusick's Bluegrass,Vascular Plant,Yosemite National Park,164,
Minuartia pusilla,"Annual Sandwort, Dwarf Sandwort",Vascular Plant,Yellowstone National Park,256,
Mustela vison,"American Mink, Mink",Mammal,Great Smoky Mountains National Park,78,
Mustela vison,Mink,Mammal,Great Smoky Mountains National Park,78,
Poa stebbinsii,Stebbin's Bluegrass,Vascular Plant,Bryce National Park,84,
Taxiphyllum deplanatum,Taxiphyllum Moss,Nonvascular Plant,Yosemite National Park,165,
Delphinium nudicaule,Red Larkspur,Vascular Plant,Yosemite National Park,160,
Setophaga magnolia,Magnolia Warbler,Bird,Great Smoky Mountains National Park,105,
Polycarpon tetraphyllum,Fourleaf Manyseed,Vascular Plant,Yosemite National Park,173,
Phlox speciosa ssp. occidentalis,Showy Phlox,Vascular Plant,Yosemite National Park,146,
Epilobium coloratum,Willow-Herb,Vascular Plant,Bryce National Park,89,
Corvus brachyrhynchos,American Crow,Bird,Yosemite National Park,153,
Potentilla glandulosa ssp. nevadensis,Nevada Cinquefoil,Vascular Plant,Great Smoky Mountains National Park,106,
Crataegus douglasii var. douglasii,"Black Hawthorn, Douglas' Hawthorn",Vascular Plant,Bryce National Park,82,
Viola purpurea ssp. integrifolia,Goosefoot Violet,Vascular Plant,Great Smoky Mountains National Park,87,
Rosa californica,California Wildrose,Vascular Plant,Yosemite National Park,171,
Carex normalis,"A Sedge, Sedge",Vascular Plant,Great Smoky Mountains National Park,88,
Eriogonum umbellatum var. umbellatum,Sulphur-Flower Buckwheat,Vascular Plant,Yellowstone National Park,230,
Synandra hispidula,"Gyandotte Beauty, Synandra",Vascular Plant,Yellowstone National Park,233,
Arnica latifolia,Broadleaf Arnica,Vascular Plant,Bryce National Park,109,
Linnaea borealis,Twinflower,Vascular Plant,Bryce National Park,77,
Festuca brachyphylla,Alpine Fescue,Vascular Plant,Bryce National Park,121,
Zygodon viridissimus,Zygodon Moss,Nonvascular Plant,Yellowstone National Park,270,
Convolvulus arvensis,"Creeping Jenny, European Bindweed, Field Bindweed, Perennial Morningglory, Smallflowered Morningglory",Vascular Plant,Yellowstone National Park,270,
Rubus odoratus,"Purple Flowering Raspberry, Purple-Flowering Raspberry",Vascular Plant,Yosemite National Park,169,
Morone chrysops,White Bass,Fish,Yosemite National Park,111,
Sisyrinchium idahoense var. idahoense,Idaho Blue-Eyed Grass,Vascular Plant,Bryce National Park,105,
Lepomis cyanellus,Green Sunfish,Fish,Bryce National Park,119,
Salix tweedyi,"Tweedy Willow, Tweedy's Willow",Vascular Plant,Yellowstone National Park,223,
Ictalurus furcatus,Blue Catfish,Fish,Yellowstone National Park,245,
Silene virginica,Fire Pink,Vascular Plant,Bryce National Park,89,
Oenothera speciosa,"Showy Evening Primrose, White Evening-Primrose",Vascular Plant,Great Smoky Mountains National Park,48,
Microthlaspi perfoliatum,Claspleaf Pennycress,Vascular Plant,Yellowstone National Park,256,
Carex mariposana,Mariposa Sedge,Vascular Plant,Great Smoky Mountains National Park,86,
Allium tribracteatum,Threebract Onion,Vascular Plant,Yellowstone National Park,230,Species of Concern
Veronica peregrina,Purslane Speedwell,Vascular Plant,Great Smoky Mountains National Park,47,
Pieris floribunda,"Mountain Fetter-Bush, Mountain Pieris",Vascular Plant,Bryce National Park,106,
Cryptantha watsonii,Watson's Cryptantha,Vascular Plant,Bryce National Park,120,
Tragopogon porrifolius,"Common Salsify, Goatsbeard, Purple Salsify, Salsify",Vascular Plant,Bryce National Park,122,
Tragopogon porrifolius,Salsify,Vascular Plant,Bryce National Park,122,
Butorides virescens,Green Heron,Bird,Yellowstone National Park,277,
Butorides virescens,Green-Backed Heron,Bird,Yellowstone National Park,277,
Agrostis scabra var. scabra,Rough Bentgrass,Vascular Plant,Yellowstone National Park,260,
Pseudotriton ruber schencki,Blackchin Red Salamander,Amphibian,Yellowstone National Park,282,
Fissidens osmundioides,Osmund Fissidens Moss,Nonvascular Plant,Yellowstone National Park,267,
Hypnum cupressiforme,Hypnum Moss,Nonvascular Plant,Bryce National Park,106,
Elymus trachycaulus ssp. subsecundus,"Bearded Wheatgrass, Slender Wheatgrass, Slender Wild Rye",Vascular Plant,Great Smoky Mountains National Park,58,
Cirsium eatonii,"Eaton's Thistle, Mountaintop Thistle",Vascular Plant,Yosemite National Park,170,
Didelphis virginiana,Virginia Opossum,Mammal,Bryce National Park,103,
Didelphis virginiana,"Virginia Opossum, Virginia Oppossum",Mammal,Bryce National Park,103,
Lamium amplexicaule,"Common Deadnettle, Henbit",Vascular Plant,Great Smoky Mountains National Park,34,
Lamium amplexicaule,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",Vascular Plant,Great Smoky Mountains National Park,34,
Symphyotrichum frondosum,Short-Rayed Alkali Aster,Vascular Plant,Yosemite National Park,139,
Melica mutica,"Narrow Melic Grass, Melic Grass",Vascular Plant,Yosemite National Park,135,
Penstemon attenuatus var. pseudoprocerus,Small Penstemon,Vascular Plant,Yosemite National Park,125,
Symplocos tinctoria,"Horse-Sugar, Sweetleaf",Vascular Plant,Great Smoky Mountains National Park,119,
Torreya californica,"California Nutmeg, California Torreya",Vascular Plant,Great Smoky Mountains National Park,86,
Carex striatula,Lined Sedge,Vascular Plant,Yosemite National Park,156,
Carex raynoldsii,"Raynolds Sedge, Raynold's Sedge, Raynolds' Sedge",Vascular Plant,Great Smoky Mountains National Park,104,
Lipocarpha micrantha,"Dwarf Bulrush, Smallflower Halfchaff Sedge, Small-Flower Halfchaff Sedge, Smallflower Hemicarpha",Vascular Plant,Yellowstone National Park,242,
Marah horridus,Sierra Manroot,Vascular Plant,Great Smoky Mountains National Park,71,
Arnica parryi ssp. sonnei,Sonne's Arnica,Vascular Plant,Yellowstone National Park,222,
Pedicularis contorta var. contorta,Coiled Lousewort,Vascular Plant,Great Smoky Mountains National Park,84,
Rhynchosia tomentosa,"Hairy Rhynchosia, Hairy Snoutbean",Vascular Plant,Great Smoky Mountains National Park,37,
Arctoa fulvella,Arctoa Moss,Nonvascular Plant,Great Smoky Mountains National Park,62,
Festuca ovina,Ovina Fescue,Vascular Plant,Yosemite National Park,150,
Lycopodium obscurum,Ground Pine,Vascular Plant,Yosemite National Park,174,
Potentilla fruticosa,"Bush Cinquefoil, Golden Hardhack, Shrubby Cinquefoil, Widdy",Vascular Plant,Yosemite National Park,148,
Galium aparine,"Bedstraw, Catchweed Bedstraw, Cleavers, Cleaverwort, Goose Grass, Scarthgrass, Stickywilly, Sticky-Willy, White Hedge",Vascular Plant,Yellowstone National Park,268,
Galium aparine,"Catchweed Bedstraw, Cleavers",Vascular Plant,Yellowstone National Park,268,
Phoradendron densum,Dense Mistletoe,Vascular Plant,Yosemite National Park,150,
Sidalcea glaucescens,"Waxy Checkerbloom, Waxy Checkermallow",Vascular Plant,Great Smoky Mountains National Park,67,
Viola purpurea ssp. integrifolia,Goosefoot Violet,Vascular Plant,Yosemite National Park,148,
Hibiscus moscheutos ssp. moscheutos,Crimsoneyed Rosemallow,Vascular Plant,Yellowstone National Park,260,
Callitriche heterophylla,Differentleaf Waterstarwort,Vascular Plant,Yellowstone National Park,255,
Callitriche heterophylla,"Larger Water-Starwort, Water Star-Wort",Vascular Plant,Yellowstone National Park,255,
Agrostis pallens,Seashore Bentgrass,Vascular Plant,Yosemite National Park,163,
Parastrellus hesperus,Canyon Bat,Mammal,Bryce National Park,93,
Anas penelope,Eurasian Wigeon,Bird,Great Smoky Mountains National Park,99,
Allophyllum integrifolium,"Mountain False Gilia, White False Gilyflower",Vascular Plant,Yosemite National Park,134,
Hygrohypnum closteri,Closter's Brook-Hypnum,Nonvascular Plant,Bryce National Park,79,
Sorghastrum elliottii,"Long-Bristled Indian-Grass, Smaller Indian Grass",Vascular Plant,Great Smoky Mountains National Park,75,
Pyrola asarifolia,"Bog Wintergreen, Liverleaf Wintergreen, Pink Wintergreen",Vascular Plant,Bryce National Park,74,
Spiranthes porrifolia,"Creamy Ladies'-Tresses, Creamy Lady's Tresses, Western Lady's Tresses",Vascular Plant,Great Smoky Mountains National Park,84,
Carex misera,"Miserable Sedge, Wretched Sedge",Vascular Plant,Yellowstone National Park,265,
Aristida purpurea var. longiseta,"Fendler Threeawn, Fendler's Threeawn, Red Threeawn, Red Threeawn (Fendler)",Vascular Plant,Bryce National Park,127,
Lomatium torreyi,Sierra Biscuitroot,Vascular Plant,Great Smoky Mountains National Park,61,
Chrysolepis sempervirens,"Bush Chinquapin, Sierra Chinkapin",Vascular Plant,Yosemite National Park,143,
Rhynchospora capitellata,"Beak-Rush, Brownish Beakrush",Vascular Plant,Yellowstone National Park,233,
Erigeron pygmaeus,"Dwarf Daisy, Pygmy Fleabane",Vascular Plant,Bryce National Park,115,
Collinsia linearis,Narrowleaf Blue Eyed Mary,Vascular Plant,Great Smoky Mountains National Park,54,
Corylus cornuta,"Beaked Hazel, Beaked Hazelnut",Vascular Plant,Bryce National Park,106,
Carex projecta,"Necklace Sedge, Sedge",Vascular Plant,Bryce National Park,98,
Vinca minor,Periwinkle,Vascular Plant,Great Smoky Mountains National Park,74,
Pyrrocoma lanceolata,"Lanceleaf Goldenweed, Lance-Leaf Goldenweed",Vascular Plant,Bryce National Park,102,
Lampropeltis triangulum triangulum,Eastern Milk Snake,Reptile,Yellowstone National Park,260,
Bromus pubescens,Native Brome Grass,Vascular Plant,Great Smoky Mountains National Park,91,
Setophaga ruticilla,American Redstart,Bird,Bryce National Park,124,
Otus flammeolus,Flammulated Owl,Bird,Yosemite National Park,127,
Erysimum cheiranthoides,"Treacle Wallflower, Wallflower Mustard, Wormseed Mustard, Wormseed Wallflower, Worm-Seed Wallflower",Vascular Plant,Yellowstone National Park,276,
Erysimum cheiranthoides,"Worm-Seed Mustard, Worm-Seed Wallflower",Vascular Plant,Yellowstone National Park,276,
Isoetes bolanderi,Bolander's Quillwort,Vascular Plant,Yellowstone National Park,240,
Galactia volubilis,Downy Milkpea,Vascular Plant,Great Smoky Mountains National Park,120,
Eschscholzia hypecoides,San Benito Poppy,Vascular Plant,Yosemite National Park,141,
Grindelia nana,Idaho Gumweed,Vascular Plant,Yosemite National Park,151,
Recurvirostra americana,American Avocet,Bird,Great Smoky Mountains National Park,59,
Salix prolixa,Mackenzie's Willow,Vascular Plant,Yosemite National Park,145,
Ranunculus eschscholtzii var. eschscholtzii,"Eschscholtz's Buttercup, Spruce-Fir Buttercup",Vascular Plant,Yosemite National Park,129,
Bidens aristosa,Stick-Tight,Vascular Plant,Yosemite National Park,123,
Eriogonum lobbii var. lobbii,Lobb's Buckwheat,Vascular Plant,Great Smoky Mountains National Park,89,
Thelypteris noveboracensis,New York Fern,Vascular Plant,Yellowstone National Park,250,
Schoenocrambe linifolia,"Flaxleaf Plainsmustard, Rush Mustard",Vascular Plant,Bryce National Park,157,
Thryothorus ludovicianus,Carolina Wren,Bird,Yellowstone National Park,241,
Eleocharis acicularis,Needle Sedge,Vascular Plant,Great Smoky Mountains National Park,97,
Eleocharis acicularis,"Needle Spikerush, Needle Spikesedge",Vascular Plant,Great Smoky Mountains National Park,97,
Draperia systyla,Violet Draperia,Vascular Plant,Yosemite National Park,138,
Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Mammal,Great Smoky Mountains National Park,91,
Urocyon cinereoargenteus,Gray Fox,Mammal,Great Smoky Mountains National Park,91,
Salix arctica,Arctic Willow,Vascular Plant,Yellowstone National Park,240,
Desmodium cuspidatum,"Tick-Trefoil, Toothed Tick-Treefoil",Vascular Plant,Yellowstone National Park,251,
Onobrychis viciifolia,"Common Sainfoin, Sainfoin",Vascular Plant,Bryce National Park,99,
Huperzia selago var. densa,Fir Clubmoss,Vascular Plant,Yellowstone National Park,227,
Chamaecrista fasciculata var. fasciculata,"Partridge Pea, Sleepingplant",Vascular Plant,Bryce National Park,139,
Tamias minimus,Least Chipmunk,Mammal,Yosemite National Park,149,
Rosa woodsii,Woods' Rose,Vascular Plant,Great Smoky Mountains National Park,77,
Myotis ciliolabrum,Small-Footed Myotis,Mammal,Bryce National Park,112,
Myotis ciliolabrum,"Small-Footed Myotis, Western Small-Footed Bat, Western Small-Footed Myotis",Mammal,Bryce National Park,112,
Crataegus intricata,Biltmore's Hawthorn,Vascular Plant,Yosemite National Park,127,
Draba praealta,Tall Draba,Vascular Plant,Great Smoky Mountains National Park,92,
Abies fraseri,Fraser Fir,Vascular Plant,Great Smoky Mountains National Park,81,Species of Concern
Valerianella radiata,"Beaked Corn-Salad, Corn Salad",Vascular Plant,Great Smoky Mountains National Park,25,
Elodea nuttallii,Waterweed,Vascular Plant,Bryce National Park,93,
Elodea nuttallii,Western Waterweed,Vascular Plant,Bryce National Park,93,
Sterna paradisaea,Arctic Tern,Bird,Yellowstone National Park,263,
Polygonum convolvulus,Black Bindweed,Vascular Plant,Yellowstone National Park,249,
Polygonum convolvulus,"Black Bindweed, Black-Bindweed, Climbing Buckwheat, Climbing Knotweed, Cornbind, Dullseed Cornbind, Pink Smartweed, Wild Buckwheat",Vascular Plant,Yellowstone National Park,249,
Rudbeckia occidentalis,Western Coneflower,Vascular Plant,Bryce National Park,100,
Delphinium patens ssp. patens,Zigzag Larkspur,Vascular Plant,Great Smoky Mountains National Park,94,
Ceryle torquata,Ringed Kingfisher,Bird,Bryce National Park,86,
Sorex longirostris,Southeastern Shrew,Mammal,Yosemite National Park,151,
Desmodium ochroleucum,Cream Ticktrefoil,Vascular Plant,Great Smoky Mountains National Park,74,
Myotis thysanodes,"Fringed Myotis, Fringed Myotis",Mammal,Bryce National Park,109,Species of Concern
Lunaria annua,Annual Honesty,Vascular Plant,Yosemite National Park,130,
Lunaria annua,"Annual Honesty, Moneyplant",Vascular Plant,Yosemite National Park,130,
Calopogon tuberosus var. tuberosus,Tuberous Grasspink,Vascular Plant,Great Smoky Mountains National Park,64,
Xema sabini,Sabine's Gull,Bird,Bryce National Park,100,
Dichanthelium meridionale,Southern Panic Grass,Vascular Plant,Great Smoky Mountains National Park,101,
Rana draytonii,California Red-Legged Frog,Amphibian,Bryce National Park,37,Threatened
Phlox drummondii,Drummond Phlox,Vascular Plant,Great Smoky Mountains National Park,55,
Dryopteris expansa,Spreading Woodfern,Vascular Plant,Bryce National Park,76,
Arabis drummondii,"Canadian Rockcress, Drummond Rockcress, Drummond's Rockcress",Vascular Plant,Bryce National Park,110,
Buteo swainsoni,Swainson's Hawk,Bird,Yosemite National Park,137,
Tachycineta bicolor,Tree Swallow,Bird,Great Smoky Mountains National Park,69,Species of Concern
Tamias amoenus,Yellow-Pine Chipmunk,Mammal,Great Smoky Mountains National Park,102,
Noturus baileyi,Smoky Madtom,Fish,Yellowstone National Park,67,Endangered
Galium lanceolatum,"Torrey's Wild Licorice, Yellow Wild Licorice",Vascular Plant,Yellowstone National Park,257,
Carex bolanderi,"Bolander Sedge, Bolander's Sedge, Wood Sedge",Vascular Plant,Yosemite National Park,152,
Heuchera micrantha,Crevice Alumroot,Vascular Plant,Bryce National Park,92,
Sedum telephium,"Garden Stonecrop, Orpine",Vascular Plant,Yellowstone National Park,259,
Eriophyllum lanatum var. integrifolium,"Common Woolly Sunflower, Wholeleaf Eriophyllum",Vascular Plant,Yellowstone National Park,265,
Leskea obscura,Leskea Moss,Nonvascular Plant,Yellowstone National Park,240,
Pedicularis canadensis,"Early Wood Lousewort, Wood Betony",Vascular Plant,Yellowstone National Park,234,
Salix rotundifolia var. dodgeana,Timberline Willow,Vascular Plant,Yellowstone National Park,252,
Lilium michauxii,Carolina Lily,Vascular Plant,Bryce National Park,69,
Dendroica cerulea,Cerulean Warbler,Bird,Great Smoky Mountains National Park,86,
Dendromecon rigida,Tree Poppy,Vascular Plant,Bryce National Park,131,
Pedicularis bracteosa var. paysoniana,Payson's Lousewort,Vascular Plant,Yellowstone National Park,207,
Galactia regularis,"Eastern Milk-Pea, Milk Pea",Vascular Plant,Great Smoky Mountains National Park,84,
Carex pedunculata,"Longstalk Sedge, Peduncled Sedge",Vascular Plant,Great Smoky Mountains National Park,65,
Xema sabini,Sabine's Gull,Bird,Yosemite National Park,154,
Ligusticum canadense,"Loveage, Nondo Lovage",Vascular Plant,Yosemite National Park,158,
Ratibida columnifera,"Prairie Coneflower, Redspike Mexican Hat, Upright Prairie Coneflower",Vascular Plant,Great Smoky Mountains National Park,58,
Eupatorium sessilifolium,Upland Boneset,Vascular Plant,Yosemite National Park,148,
Notropis rubellus,Rosyface Shiner,Fish,Yellowstone National Park,236,
Phyllodoce empetriformis,"Mountain Heath, Pink Mountainheath, Red Mountainheath",Vascular Plant,Yosemite National Park,189,
Lonicera japonica,Japanese Honeysuckle,Vascular Plant,Yellowstone National Park,298,
Ribes glandulosum,Skunk Currant,Vascular Plant,Yosemite National Park,174,
Isatis tinctoria,Dyer's Woad,Vascular Plant,Bryce National Park,120,
Strix nebulosa,Great Gray Owl,Bird,Yellowstone National Park,244,
Strix nebulosa,"Great Gray Owl, Great Grey Owl",Bird,Yellowstone National Park,244,
Juncus diffusissimus,"Diffuse Rush, Slimpod Rush",Vascular Plant,Bryce National Park,94,
Muhlenbergia schreberi,"Drop-Seed, Schreber Muhly",Vascular Plant,Yellowstone National Park,271,
Muhlenbergia schreberi,"Nimblewill, Nimblewill Muhly",Vascular Plant,Yellowstone National Park,271,
Dioscorea quaternata,Wild Yam,Vascular Plant,Yosemite National Park,150,
Aruncus dioicus,"Common Goatsbeard, Oat's Beard",Vascular Plant,Bryce National Park,116,
Diadophis punctatus edwardsii,Northern Ringneck Snake,Reptile,Bryce National Park,129,
Eriophorum crinigerum,Fringed Cottongrass,Vascular Plant,Yellowstone National Park,266,
Fraxinus profunda,Pumpkin Ash,Vascular Plant,Yellowstone National Park,262,
Galium pedemontana,Narrow Bedstraw,Vascular Plant,Great Smoky Mountains National Park,43,
Schoenoplectus subterminalis,Swaying Bulrush,Vascular Plant,Yosemite National Park,142,
Senecio hydrophilus,"Alkali Marsh Groundsel, Water Groundsel, Water Ragwort",Vascular Plant,Yellowstone National Park,261,
Symphyotrichum lateriflorum var. lateriflorum,Calico Aster,Vascular Plant,Yellowstone National Park,252,
Mustela erminea,Ermine,Mammal,Great Smoky Mountains National Park,78,
Mustela erminea,"Ermine, Short Tailed Weasel",Mammal,Great Smoky Mountains National Park,78,
Mustela erminea,Ermine,Mammal,Yellowstone National Park,233,
Mustela erminea,"Ermine, Short Tailed Weasel",Mammal,Yellowstone National Park,233,
Rhodobryum roseum,Rose Rhodobryum Moss,Nonvascular Plant,Great Smoky Mountains National Park,90,
Spinus pinus,Pine Siskin,Bird,Great Smoky Mountains National Park,84,
Condylura cristata,Star-Nosed Mole,Mammal,Bryce National Park,99,
Eriophorum angustifolium,"Narrowleaf Cottonsedge, Tall Cottongrass, Tall Cotton-Grass",Vascular Plant,Yosemite National Park,144,
Populus X jackii,Jack's Poplar,Vascular Plant,Great Smoky Mountains National Park,86,
Collomia grandiflora,"Grand Collomia, Largeflowered Collomia",Vascular Plant,Bryce National Park,106,
Rorippa islandica,Northern Marsh Yellowcress,Vascular Plant,Yellowstone National Park,251,
Aspidotis densa,"Indian's Dream, Pod Fern",Vascular Plant,Yosemite National Park,134,
Polygonum aviculare,Bird Knotweed,Vascular Plant,Yosemite National Park,109,
Polygonum aviculare,"Prostrate Knotweed, Yard Knotweed",Vascular Plant,Yosemite National Park,109,
Dichodontium pellucidum,A Moss,Nonvascular Plant,Bryce National Park,90,
Cephalozia connivens,Cephalozia,Nonvascular Plant,Yosemite National Park,157,
Atriplex subspicata,"Halberdleaf Orach, Orach Saltbush, Saline Saltbush, Spearscale, Spreading Orach",Vascular Plant,Yellowstone National Park,201,
Huperzia selago var. selago,Fir Clubmoss,Vascular Plant,Bryce National Park,91,
